Date,Open,High,Low,Close,Adj Close,Volume
2009-10-23,184.029999,184.889999,179.039993,180.360001,161.073395,9221900
2009-10-26,180.520004,182.449997,177.820007,179.369995,160.189224,9427400
2009-10-27,179.250000,180.100006,177.399994,178.610001,159.510513,10505700
2009-10-28,177.910004,178.399994,171.669998,172.160004,153.750244,13586400
2009-10-29,174.570007,178.580002,173.440002,178.580002,159.483749,9342900
2009-10-30,177.220001,177.619995,169.679993,170.169998,151.973053,13323700
2009-11-02,171.589996,173.360001,165.300003,170.679993,152.428497,15802400
2009-11-03,168.979996,172.160004,168.740005,171.610001,153.259048,11150300
2009-11-04,173.470001,174.600006,169.020004,169.500000,151.374680,11143300
2009-11-05,170.979996,173.500000,169.210007,173.399994,154.857620,9017500
2009-11-06,171.960007,173.949997,171.000000,171.779999,153.410873,6274200
2009-11-09,173.679993,176.750000,173.500000,176.570007,157.688705,10329200
2009-11-10,176.399994,177.740005,175.320007,176.509995,157.635101,7244700
2009-11-11,178.029999,180.839996,177.949997,179.850006,160.617935,8187800
2009-11-12,179.699997,181.429993,177.789993,178.479996,159.394440,7404200
2009-11-13,178.889999,178.990005,175.639999,176.759995,157.858337,7630900
2009-11-16,177.990005,179.380005,176.429993,177.250000,158.295914,8748500
2009-11-17,177.009995,178.250000,175.500000,176.600006,157.715439,7680500
2009-11-18,176.470001,177.449997,175.009995,176.899994,157.983414,5959000
2009-11-19,175.529999,176.199997,171.429993,172.830002,154.348618,8893100
2009-11-20,171.399994,172.440002,170.009995,170.009995,151.830139,8825400
2009-11-23,171.669998,173.630005,171.250000,172.000000,153.607361,7930000
2009-11-24,171.639999,172.000000,170.279999,171.130005,152.830383,6143700
2009-11-25,171.970001,172.100006,168.050003,168.919998,150.856720,6984800
2009-11-27,164.270004,166.300003,163.220001,164.160004,146.605759,6883200
2009-11-30,165.470001,169.990005,164.770004,169.660004,151.841324,10699200
2009-12-01,171.250000,171.330002,167.070007,167.630005,150.024490,13489100
2009-12-02,167.649994,167.809998,165.570007,166.660004,149.156403,7500200
2009-12-03,167.949997,169.160004,163.940002,164.300003,147.044220,8020400
2009-12-04,167.500000,167.800003,163.529999,167.240005,149.675491,10410300
